silence_windows,beacon_12,beacon_15,src2dst_max_piat_ms,wavelet_2,wavelet_11,wavelet_1,wavelet_0,window_delta_2,window_delta_6,window_delta_4,mean_packet_size_delta,main_class,second_class
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
4,0,0,244,162036.817,12449.981,49696.879,0.0,65535,0,0,747.17073,valak,infostealer
0,60,60,0,68536.456,957.617,89693.958,2823.489,516,516,516,210.14286,icedid,infostealer
3,0,0,423,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,374.66667,emotet,dropper
1,710,-17793,0,11378.027,30659.489,15634.392,627.417,65535,65535,1023,116.54545,valak,infostealer
0,0,0,0,161920.77,6211.134,64626.731,0.0,65535,0,65535,386.57143,valak,infostealer
3,0,0,190,23891.909,0.0,178223.436,0.0,64240,0,64240,226.71429,emotet,dropper
0,0,0,0,20167.984,49446.678,35682.303,14514.265,64240,0,0,360.55556,hancitor,dropper
0,60,714,0,585.557,3780.759,1942.904,2177.511,65535,1022,65535,148.90909,valak,infostealer
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,0,0,0,20167.984,49446.678,35682.303,14514.265,64240,0,0,226.28571,hancitor,dropper
0,0,0,0,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,360.66667,hancitor,dropper
1,-120,596,74976,688.126,3020.57,1192.307,2799.17,63515,64240,64240,110.0,hancitor,dropper
1,0,0,653,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,339.33333,emotet,dropper
1,0,0,813,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,360.66667,emotet,dropper
3,0,0,151,24196.75,0.0,134561.006,0.0,64240,0,64240,226.42857,emotet,dropper
1,0,0,728,118139.721,10028.574,132654.646,0.0,64240,64240,64240,181.6,hancitor,dropper
0,-2320,-2184,0,145989.565,12123.202,44028.884,57510.142,65535,0,65535,216.72727,qakbot,
0,0,0,0,616.61,0.0,350.725,0.0,8192,8192,8192,7.0,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
2,0,0,29642,2924.971,8062.317,3784.431,1174.01,0,0,0,193.2,qakbot,
0,0,0,0,2090.565,1320.28,1118.174,884.324,0,0,0,16.0,qakbot,Obama271
0,0,0,0,27449.541,0.0,141964.414,205874.0,0,0,0,545.81443,hancitor,dropper
0,0,0,0,7179.215,8981.859,3021.798,59872.159,0,0,0,235.9,qakbot,Obama271
3,0,0,482,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,323.90909,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,2.4,hancitor,dropper
2,0,0,296,121427.154,0.0,832072.348,0.0,0,0,0,276.25,zloader,dropper
3,0,0,441,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,424.78261,emotet,dropper
1,-754,-646,110003,608.227,10432.563,1968.046,1877.036,65535,65535,65535,188.8,valak,infostealer
1,0,0,646,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,326.2,emotet,dropper
3,0,0,217,24120.54,261349.146,143592.174,0.0,64240,64240,64240,226.42857,emotet,dropper
4,0,0,59811,1960.458,5797.749,4390.653,2273.574,0,0,0,180.66667,icedid,infostealer
4,0,0,681,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,1066.35052,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
2,0,0,79265,2924.971,8062.317,3784.431,1174.01,0,0,0,232.3,qakbot,
0,0,0,0,0.0,0.0,31655.756,0.0,0,0,0,492.25641,qakbot,Obama271
0,60,714,3,585.557,3780.759,1942.904,2177.511,65535,1022,65535,172.90909,valak,infostealer
2,0,0,388,69352.093,96529.173,92753.442,6363.535,0,0,0,100.2,hancitor,dropper
0,0,0,0,2090.565,1320.28,1118.174,884.324,0,0,0,5.33333,qakbot,Obama271
1,-120,596,74966,688.126,3020.57,1192.307,2799.17,63515,64240,64240,110.0,hancitor,dropper
5,0,0,1601,10196.583,0.0,76.368,96126.0,64240,64240,0,507.21649,dridex,infostealer
0,-54,614,24292,11490.816,1925.279,15855.074,128.276,65535,0,65535,267.77778,valak,infostealer
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,2.4,hancitor,dropper
3,0,0,431,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,378.5,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,100.6,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
0,710,-17793,0,11378.027,30659.489,15634.392,627.417,65535,65535,1023,128.8,valak,infostealer
0,-2320,-2184,0,145989.565,12123.202,44028.884,57510.142,65535,0,65535,283.2,qakbot,
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,2.4,hancitor,dropper
5,0,0,59956,59870.917,8870.303,138576.392,53437.014,0,0,0,244.5,valak,infostealer
3,0,0,439,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,468.28571,emotet,dropper
3,0,0,423,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,483.14286,emotet,dropper
0,0,0,0,1960.458,5797.749,4390.653,2273.574,0,0,0,186.33333,icedid,infostealer
0,0,0,0,59472.973,14662.998,80992.884,11983.939,0,0,0,143.04762,icedid,infostealer
8,0,0,332,0.0,0.0,0.0,93162.0,0,0,0,780.10309,valak,infostealer
3,-2320,-2184,80145,145989.565,12123.202,44028.884,57510.142,65535,0,65535,354.4,qakbot,
0,0,0,0,2090.565,1320.28,1118.174,884.324,0,0,0,47.0,qakbot,Obama271
3,0,0,59939,7300.594,748.246,126652.724,0.0,0,0,0,244.5,valak,infostealer
3,-2320,-2184,79559,145989.565,12123.202,44028.884,57510.142,65535,0,65535,300.18182,qakbot,
0,0,0,0,7427.034,0.0,847720.621,0.0,0,0,0,358.8,zloader,dropper
3,0,0,428,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,314.0,emotet,dropper
12,0,0,70242,1960.458,5797.749,4390.653,2273.574,0,0,0,11.11765,icedid,infostealer
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,0,0,0,20167.984,49446.678,35682.303,14514.265,64240,0,0,226.28571,hancitor,dropper
0,0,0,0,24408.06,0.0,117082.741,0.0,0,0,0,272.96,qakbot,Obama271
0,0,0,0,76945.915,5795.641,101411.779,1766.913,0,0,0,101.6,hancitor,dropper
2,0,0,603,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,360.66667,emotet,dropper
3,0,0,3790,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,816.59794,emotet,dropper
1,0,0,817,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,360.66667,emotet,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
2,0,0,354,58623.177,73161.32,85116.838,31928.622,64240,0,64240,367.77778,emotet,dropper
2,0,0,450,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,226.42857,hancitor,dropper
0,0,0,0,201446.169,0.0,888971.817,0.0,0,0,0,422.14286,zloader,dropper
1,-120,596,74836,688.126,3020.57,1192.307,2799.17,63515,64240,64240,110.0,hancitor,dropper
0,0,0,0,195191.734,0.0,142271.299,0.0,0,0,0,522.80412,valak,infostealer
0,0,0,1952,0.0,0.0,2230.215,0.0,0,0,0,324.28571,qakbot,Obama271
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
3,0,0,495,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,330.0,emotet,dropper
0,0,0,0,58623.177,73161.32,85116.838,31928.622,64240,0,64240,221.85714,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
3,0,0,432,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,400.10526,emotet,dropper
3,0,0,241,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,0,0,0,118139.721,10028.574,132654.646,0.0,64240,64240,64240,180.8,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
2,0,0,783,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,343.36842,emotet,dropper
0,0,0,0,52537.361,8718.841,81139.389,78244.726,0,0,0,256.12903,valak,infostealer
1,0,0,1023,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,360.66667,hancitor,dropper
7,-140,-140,59943,74096.713,1539.223,97040.521,2902.207,258,258,258,263.85714,icedid,infostealer
2,0,0,1813,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,334.0,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
0,0,0,0,7427.034,0.0,847720.621,0.0,0,0,0,227.5,zloader,dropper
0,0,0,0,198224.555,0.0,138375.14,0.0,0,0,0,129.25,hancitor,dropper
0,0,0,73856,1147.951,3047.968,1795.268,2759.392,62891,64240,64240,112.2,hancitor,dropper
0,0,0,0,0.0,0.0,76.368,0.0,0,0,0,0.0,qakbot,Obama271
0,0,0,0,374.123,0.0,3039.145,0.0,0,0,0,291.09091,qakbot,Obama271
1,710,-17793,0,11378.027,30659.489,15634.392,627.417,65535,65535,1023,127.8,valak,infostealer
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
0,0,0,0,168192.526,0.0,152289.587,0.0,0,0,0,464.7561,qakbot,Obama271
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,100.6,hancitor,dropper
0,-91289,205,0,516.151,1032.302,133111.437,0.0,512,511,511,218.0,icedid,infostealer
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
0,0,0,0,198224.555,0.0,138375.14,0.0,0,0,0,129.25,hancitor,dropper
3,-2320,-2184,76415,145989.565,12123.202,44028.884,57510.142,65535,0,65535,312.3,qakbot,
8,0,0,59945,76490.47,1539.223,100168.56,3010.901,64,63,63,263.71429,valak,infostealer
0,-54,614,15844,11490.816,1925.279,15855.074,128.276,65535,0,65535,301.75,valak,infostealer
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
2,0,0,1215,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
2,0,0,1689,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,362.44444,emotet,dropper
1,-120,596,409,688.126,3020.57,1192.307,2799.17,63515,64240,64240,183.33333,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
0,-754,-646,0,608.227,10432.563,1968.046,1877.036,65535,65535,65535,233.14286,valak,infostealer
1,0,0,75081,1147.951,3047.968,1795.268,2759.392,62891,64240,64240,112.2,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,0,0,0,1960.458,5797.749,4390.653,2273.574,0,0,0,183.33333,icedid,infostealer
1,0,0,854,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,360.66667,emotet,dropper
0,-754,-646,91253,608.227,10432.563,1968.046,1877.036,65535,65535,65535,186.8,valak,infostealer
0,0,0,0,76490.47,1539.223,100168.56,3010.901,64,63,63,263.71429,valak,infostealer
6,0,0,1353,0.0,0.0,0.0,101204.0,0,0,0,588.37113,qakbot,Qakbot
4,0,0,93,58623.177,73161.32,85116.838,31928.622,64240,0,64240,226.42857,emotet,dropper
0,0,0,0,139760.912,0.0,123383.062,0.0,64240,63917,64240,444.44444,hancitor,dropper
0,0,0,0,68493.163,1539.223,89718.088,2647.765,0,0,0,294.42424,valak,infostealer
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
0,710,-17793,0,11378.027,30659.489,15634.392,627.417,65535,65535,1023,167.27273,valak,infostealer
4,0,0,99,58623.177,73161.32,85116.838,31928.622,64240,0,64240,226.42857,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
1,0,0,717,201446.169,0.0,888971.817,0.0,0,0,0,233.0,zloader,dropper
4,0,0,100,58623.177,73161.32,85116.838,31928.622,64240,0,64240,226.42857,emotet,dropper
0,0,0,0,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,360.66667,hancitor,dropper
0,0,0,0,20167.984,49446.678,35682.303,14514.265,64240,0,0,226.28571,hancitor,dropper
4,0,0,4895,0.0,0.0,169.706,54029.0,64240,0,0,1036.0,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,100.2,hancitor,dropper
1,0,0,307,69352.093,96529.173,92753.442,6363.535,0,0,0,100.2,hancitor,dropper
0,-120,596,0,688.126,3020.57,1192.307,2799.17,63515,64240,64240,158.4,hancitor,dropper
0,0,0,0,2090.565,1320.28,1118.174,884.324,0,0,0,99.0,qakbot,Obama271
2,0,0,422,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,-54,-22044,35003,10505.831,352.259,14600.776,193.083,65535,0,65535,291.33333,valak,infostealer
1,0,0,1757,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,360.66667,emotet,dropper
0,0,0,0,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,226.42857,hancitor,dropper
1,0,0,960,20167.984,49446.678,35682.303,14514.265,64240,0,0,962.53846,hancitor,dropper
0,0,0,0,0.0,0.0,0.0,4893.0,0,0,0,384.0,qakbot,Obama271
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
2,0,0,106127,2924.971,8062.317,3784.431,1174.01,0,0,0,258.55556,qakbot,
5,0,0,59955,52537.361,8718.841,81139.389,78244.726,0,0,0,241.75,valak,infostealer
4,0,0,100,58623.177,73161.32,85116.838,31928.622,64240,0,64240,226.42857,emotet,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,2.4,hancitor,dropper
1,0,0,443,2540.919,0.0,870868.469,0.0,0,0,0,338.3,zloader,dropper
0,0,0,0,2090.565,1320.28,1118.174,884.324,0,0,0,138.0,qakbot,Obama271
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
3,0,0,444,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,415.21739,emotet,dropper
2,0,0,404,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
3,-754,-646,109890,608.227,10432.563,1968.046,1877.036,65535,65535,65535,165.2,valak,infostealer
4,0,0,1167,59870.917,8870.303,138576.392,53437.014,0,0,0,605.75258,valak,infostealer
0,-54,614,0,11490.816,1925.279,15855.074,128.276,65535,0,65535,148.57143,valak,infostealer
20,0,0,71412,1960.458,5797.749,4390.653,2273.574,0,0,0,28.36364,icedid,infostealer
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
1,-754,-646,27551,608.227,10432.563,1968.046,1877.036,65535,65535,65535,165.2,valak,infostealer
2,0,0,394,0.0,0.0,9612.41,0.0,0,0,0,305.8,emotet,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,101.6,hancitor,dropper
3,0,0,214,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,0,0,0,176404.179,0.0,302360.274,0.0,0,0,0,134.25,hancitor,dropper
1,-1613,-1352,103314,8870.277,4081.452,46737.861,47221.474,65535,65535,65535,206.88889,qakbot,
0,0,0,0,20167.984,49446.678,35682.303,14514.265,64240,0,0,362.33333,hancitor,dropper
0,0,0,12321,93.531,2999.912,350.725,0.0,65535,65535,0,198.25,valak,infostealer
2,0,0,612,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,360.66667,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,100.2,hancitor,dropper
0,0,0,0,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,226.42857,hancitor,dropper
0,0,0,0,374.123,0.0,8370.73,0.0,0,0,0,424.5,qakbot,Obama271
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
2,0,0,612,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,100.6,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,100.2,hancitor,dropper
3,0,0,721,201446.169,0.0,888971.817,0.0,0,0,0,718.37113,zloader,dropper
3,0,0,411,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
6,-140,-140,59944,74096.713,1539.223,97040.521,2902.207,258,258,258,263.85714,icedid,infostealer
1,0,0,757,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,360.66667,emotet,dropper
0,-754,-646,0,608.227,10432.563,1968.046,1877.036,65535,65535,65535,236.57143,valak,infostealer
0,0,0,0,187.061,5078.373,3365.828,0.0,65535,65535,0,288.0,valak,infostealer
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
3,0,0,430,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,425.81818,emotet,dropper
2,0,0,129,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
2,0,0,354,58623.177,73161.32,85116.838,31928.622,64240,0,64240,366.0,emotet,dropper
2,0,0,160,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
3,0,0,184,121427.154,0.0,832072.348,0.0,0,0,0,826.43299,zloader,dropper
1,0,0,334,7427.034,0.0,847720.621,0.0,0,0,0,233.5,zloader,dropper
0,0,0,0,0.0,0.0,119783.889,0.0,0,0,0,819.79381,qakbot,Obama271
0,0,0,0,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,547.25,hancitor,dropper
5,0,0,1341,0.0,0.0,0.0,81251.0,0,0,0,986.90722,valak,infostealer
1,0,0,1229,20167.984,49446.678,35682.303,14514.265,64240,0,0,360.55556,hancitor,dropper
0,-140,-140,0,80704.004,1539.223,105674.589,3202.226,255,255,255,295.41935,icedid,infostealer
2,0,0,781,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,324.6,emotet,dropper
0,0,0,0,0.0,0.0,270578.652,0.0,0,0,0,867.45161,hancitor,dropper
7,0,0,316,4585.569,2673.727,15206.537,60157.457,8192,64,8192,735.90909,valak,infostealer
0,-754,-646,76822,608.227,10432.563,1968.046,1877.036,65535,65535,65535,186.8,valak,infostealer
1,0,0,75130,187.061,374.123,2600.739,0.0,63155,64240,64240,113.8,hancitor,dropper
0,0,0,0,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,226.42857,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
4,0,0,97,58623.177,73161.32,85116.838,31928.622,64240,0,64240,226.42857,emotet,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,-111,-111,0,626.467,1211.806,987.246,334.585,64053,64047,64050,269.33333,icedid,infostealer
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
2,0,0,410,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
3,0,0,444,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,459.72727,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
0,-54,614,35308,11490.816,1925.279,15855.074,128.276,65535,0,65535,267.77778,valak,infostealer
0,-54,614,35517,11490.816,1925.279,15855.074,128.276,65535,0,65535,267.77778,valak,infostealer
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
3,0,0,405,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,0,0,0,429.549,0.0,2983.991,0.0,0,0,0,0.0,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
3,0,0,435,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,339.6,emotet,dropper
3,0,0,979,1078433.723,44828.939,151477.829,0.0,65535,0,0,578.35052,zloader,dropper
0,710,-17793,0,11378.027,30659.489,15634.392,627.417,65535,65535,1023,493.56522,valak,infostealer
0,0,0,0,20167.984,49446.678,35682.303,14514.265,64240,0,0,360.55556,hancitor,dropper
0,0,0,0,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,226.42857,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
3,0,0,2495,33184.361,6235.383,36390.543,0.0,65535,0,65535,902.12121,valak,infostealer
1,0,0,354,20167.984,49446.678,35682.303,14514.265,64240,0,0,226.28571,hancitor,dropper
0,0,0,0,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,226.42857,hancitor,dropper
0,0,0,0,2090.565,1320.28,1118.174,884.324,0,0,0,47.33333,qakbot,Obama271
1,0,0,748,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,360.66667,emotet,dropper
2,0,0,436,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,-140,-140,0,74096.713,1539.223,97040.521,2902.207,258,258,258,263.85714,icedid,infostealer
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
0,0,0,0,20041.71,63871.59,35509.941,14575.814,64240,64240,64240,226.42857,hancitor,dropper
1,-1613,-1352,109433,8870.277,4081.452,46737.861,47221.474,65535,65535,65535,232.6,qakbot,
2,-108,588,75124,3473.245,3231.178,2685.501,1967.522,63011,64240,64240,113.8,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
1,0,0,3892,58913.527,8937.62,89735.313,90927.512,0,0,0,246.625,valak,infostealer
1,0,0,599,139760.912,0.0,123383.062,0.0,64240,63917,64240,224.75,hancitor,dropper
2,-108,588,75007,3473.245,3231.178,2685.501,1967.522,63011,64240,64240,113.8,hancitor,dropper
1,0,0,75752,187.061,3363.643,1617.86,0.0,65535,65535,0,116.6,hancitor,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
18,0,0,71589,1960.458,5797.749,4390.653,2273.574,0,0,0,31.31034,icedid,infostealer
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
3,0,0,485,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,452.45455,emotet,dropper
0,0,0,0,20167.984,49446.678,35682.303,14514.265,64240,0,0,360.55556,hancitor,dropper
1,0,0,56875,827.428,3253.616,1343.543,2732.592,63347,0,0,115.4,hancitor,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.25,hancitor,dropper
2,0,0,350,58623.177,73161.32,85116.838,31928.622,64240,0,64240,366.0,emotet,dropper
1,0,0,1834,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,360.66667,emotet,dropper
4,0,0,95,58623.177,73161.32,85116.838,31928.622,64240,0,64240,226.42857,emotet,dropper
2,0,0,160,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
3,0,0,436,52527.42,124299.329,76501.806,29731.133,64240,64240,64240,450.43478,emotet,dropper
0,0,0,0,7179.215,8981.859,3021.798,59872.159,0,0,0,224.33333,qakbot,Obama271
0,0,0,0,374.123,0.0,23317.553,0.0,0,0,0,515.83784,qakbot,Obama271
3,0,0,224,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,0,0,0,76945.915,5795.641,101411.779,1766.913,0,0,0,101.6,hancitor,dropper
0,0,0,0,198224.555,0.0,138375.14,0.0,0,0,0,129.25,hancitor,dropper
3,-2320,-2184,78842,145989.565,12123.202,44028.884,57510.142,65535,0,65535,319.6,qakbot,
3,0,0,331,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,0,0,0,63312.218,14156.762,108089.687,25425.564,0,0,0,127.0,hancitor,dropper
0,60,714,0,585.557,3780.759,1942.904,2177.511,65535,1022,65535,147.23077,valak,infostealer
3,0,0,409,75378.124,35618.589,107440.531,16736.176,64240,64240,64240,226.42857,emotet,dropper
0,0,0,0,69352.093,96529.173,92753.442,6363.535,0,0,0,125.75,hancitor,dropper
2,0,0,73,1503.42,0.0,1177621.29,0.0,0,0,0,340.37113,zloader,dropper
